Country,Year,Region,Maternal mortality ratio,Proportion of births attended by skilled health personnel (%),"Infant mortality rate (deaths per 1,000 live births):::BOTHSEX","Infant mortality rate (deaths per 1,000 live births):::MALE","Infant mortality rate (deaths per 1,000 live births):::FEMALE","Under-five mortality rate, by sex (deaths per 1,000 live births):::BOTHSEX","Under-five mortality rate, by sex (deaths per 1,000 live births):::MALE","Under-five mortality rate, by sex (deaths per 1,000 live births):::FEMALE","Neonatal mortality rate (deaths per 1,000 live births)","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability):::BOTHSEX","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability):::MALE","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability):::FEMALE","Fraction of deaths due to diabetes, among deaths due to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Fraction of deaths due to cancer, among deaths due to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Suicide mortality rate, by sex (deaths per 100,000 population):::BOTHSEX","Suicide mortality rate, by sex (deaths per 100,000 population):::MALE","Suicide mortality rate, by sex (deaths per 100,000 population):::FEMALE","Death rate due to road traffic injuries, by sex (per 100,000 population):::BOTHSEX","Death rate due to road traffic injuries, by sex (per 100,000 population):::MALE","Death rate due to road traffic injuries, by sex (per 100,000 population):::FEMALE","Adolescent birth rate (per 1,000 women aged 15-19 years)",Universal health coverage (UHC) service coverage index,"Health worker density, by type of occupation (per 10,000 population)::PHYSICIAN","Health worker density, by type of occupation (per 10,000 population)::NURSEMIDWIFE","Health worker density, by type of occupation (per 10,000 population)::PHARMACIST"
Greece,2005,Europe,3,100,4,4.3,3.7,4.6,4.9,4.2,2.5,13.6,18.6,8.7,0.013,0.314,3.6,5.9,1.4,16.6,26.2,7.1,9.8,64,49.494,51.797,8.527
Greece,2010,Europe,3,100,3.4,3.7,3.2,3.9,4.2,3.6,2.1,13.4,18.2,8.8,0.013,0.325,3.5,6.3,0.7,13.1,21.4,5.1,10.8,70,58.812,54.107,10.25
Greece,2015,Europe,3,99.9,3.9,4.2,3.6,4.4,4.7,4,2.7,13.1,18.2,8.1,0.02,0.339,5,8.2,2,9.3,15.2,3.6,8.4,74,59.914,49.059,10.6
Hungary,2000,Europe,16,99.5,8.7,9.5,7.8,10.1,11.1,9.2,5.7,29.1,39.4,19.8,0.021,0.305,33.4,52.6,15.9,12.7,19.7,6.2,23.3,63,26.799,69.86,4.799
Hungary,2005,Europe,15,99.6,6.4,6.9,5.9,7.5,8.2,6.9,4.1,26.7,36.7,17.7,0.033,0.28,26.4,42.8,11.6,14.8,23.6,6.8,20,65,27.816,76.217,5.268
Hungary,2010,Europe,13,99.1,5.1,5.4,4.7,6,6.5,5.5,3.4,24.5,33.5,16.4,0.024,0.312,25.5,41.6,11,9.2,14.5,4.4,17.9,68,28.896,79.226,5.864
Hungary,2015,Europe,12,99.6,4.3,4.6,3.9,5.1,5.5,4.7,2.7,23.2,30.7,16.5,0.026,0.309,19.9,31,9.9,7.8,12.2,3.9,22.8,73,31.178,82.345,7.199
Iceland,2010,Europe,5,98.2,2.1,2.2,1.9,2.6,2.8,2.4,1.3,9.9,11.7,8.1,0.017,0.404,12.8,19.7,5.7,2.6,3.7,1.4,13,81,35.654,213.768,4.839
Iceland,2015,Europe,4,98.2,1.8,1.9,1.6,2.2,2.4,2.1,1.1,9.2,10.5,7.9,0.019,0.427,14.3,22.5,5.9,4.8,5.7,4,8,85,37.826,224.379,4.846
Iran (Islamic Republic of),2005,Asia,34,97.3,21.8,22.7,20.8,25.9,26.7,24.9,15.6,18.1,21.6,14.4,0.049,0.191,6.2,7.5,4.9,41,61.6,19.7,32.6,54,8.869,14.051,1.992
Ireland,2000,Europe,7,99.6,6,6.6,5.4,7.1,7.8,6.4,4,17.7,21.7,13.6,0.018,0.33,12.7,20.7,4.8,11.4,16.9,5.9,19.6,70,22.304,140.287,8.046
Ireland,2005,Europe,7,99.7,4.4,4.7,4,5.2,5.6,4.7,3,13.9,16.6,11.1,0.023,0.381,11.8,18.6,5.1,9.9,14.8,5.1,16.8,73,35.427,122.67,9.176
Ireland,2010,Europe,6,99.8,3.5,3.8,3.2,4.2,4.5,3.8,2.5,11.3,13.5,9.1,0.025,0.408,11.9,18.5,5.4,4.8,7,2.6,14.6,75,41.326,134.653,10.028
Ireland,2015,Europe,6,99.7,3.2,3.5,2.9,3.7,4,3.4,2.4,10.6,12.6,8.7,0.024,0.425,9.3,14.7,4,3.6,5.3,1.9,8.6,79,31.524,124.774,11.158
Italy,2000,Europe,4,99.8,4.7,5.1,4.4,5.6,6,5.2,3.5,13.6,18.1,9.3,0.04,0.348,7.5,11.4,3.9,13.9,21.9,6.5,7.2,69,69.172,57.658,11.088
Italy,2005,Europe,3,99.8,3.8,4.1,3.5,4.5,4.8,4.1,2.7,11.8,15.4,8.3,0.045,0.361,6.7,10.1,3.5,10.3,17,4,7,75,74.034,52.102,8.579
Italy,2015,Europe,2,99.9,3,3.2,2.7,3.5,3.7,3.2,2.1,9.8,12.4,7.3,0.048,0.364,7.1,10.9,3.6,5.9,9.5,2.5,5.1,81,76.959,57.152,11.545
Jamaica,2015,Americas,78,99.9,13.4,15,11.8,15.6,17.4,13.7,11.2,16.8,16.1,17.4,0.181,0.35,2.2,3.4,1,13.3,18.5,8.1,54.7,62,4.147,14.507,0.284
Japan,2010,Asia,6,99.8,2.3,2.5,2.2,3.2,3.4,3,1.1,9.5,12.8,6.3,0.019,0.449,24.1,34.9,13.8,5.3,7.2,3.5,4.5,77,22.059,102.738,15.374
